kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:5-es,-0.3503097518517077,0.0,0.0,0.3503097518517077
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:2-en,-0.32970516467141975,0.0,0.0,0.32970516467141975
wins,db26_LIBER-AI-CLAUDE_db26:2-es,-0.3124248575789625,0.0,0.0,0.3124248575789625
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:2-es,-0.3095805374887531,0.0,0.0,0.3095805374887531
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:5-en,-0.30572863555731983,0.0,0.0,0.30572863555731983
fails,db26_ADFR_db26:5-es,0.2003980253689035,0.7499999999999999,0.1690933489682979,0.36949137433720136
fails,db26_INFAI-ETI-AND-FRIENDS-A_db26:5-en,0.18670195256088468,0.6666666666666666,0.2773167977561413,0.464018750317026
fails,db26_INFAI-ETI-AND-FRIENDS-A_db26:5-es,0.1763624552285788,0.6666666666666666,0.2228961931726525,0.3992586484012313
fails,db26_INFAI-ETI-AND-FRIENDS-B_db26:5-es,0.10560370825143847,0.0,0.2627406813978721,0.15713697314643363
fails,db26_LIBER-AI-QWEN_db26:2-en,0.06914247598672751,0.6666666666666666,0.17224209006019778,0.24138456604692526
