kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck26_SPARQL-LLM_ck26:27-en,-0.46187223155148405,1.0,1.0,0.538127768448516
wins,ck26_SPARQL-LLM_ck26:37-en,-0.3027363357999867,1.0,1.0,0.6972636642000133
wins,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:27-en,-0.13373236942696176,0.8478964401294499,0.3092923161850889,0.1755599467581271
wins,ck26_IRIS_ck26:37-en,-0.10772186506776132,0.0,0.31518748747255526,0.4229093525403166
wins,ck26_INFAI-ETI-AND-FRIENDS-A_ck26:27-en,-0.08146870099559578,1.0,0.3373154824755109,0.25584678147991513
fails,ck26_LIBER-AI-QWEN_ck26:37-en,0.1504694258687843,0.0,0.5070355342667442,0.3565661083979599
fails,ck26_IRIS_ck26:27-en,0.12243399233024804,0.7552447552447552,0.2003909294022605,0.3228249217325086
fails,ck26_ADFR_ck26:37-en,0.10361039012309209,0.5333333333333333,0.2111527633945602,0.3147631535176523
fails,ck26_LIBER-AI-CLAUDE_ck26:27-en,0.08245903488245787,0.7552447552447552,0.1606997596079243,0.2431587944903822
fails,ck26_ADFR_ck26:27-en,0.027761048185058423,0.8451612903225806,0.17198039568197035,0.1997414438670288
