kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck26_SPARQL-LLM_ck26:27-en,-0.46187223155148405,1.0,1.0,0.538127768448516
wins,ck26_IRIS_ck26:34-en,-0.1932799778558238,0.8345418589321028,0.38388219173607735,0.19060221388025358
wins,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:34-en,-0.1509832547113118,0.8350923482849605,0.20374101738243178,0.052757762671119944
wins,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:27-en,-0.13373236942696176,0.8478964401294499,0.3092923161850889,0.1755599467581271
wins,ck26_INFAI-ETI-AND-FRIENDS-A_ck26:27-en,-0.08146870099559578,1.0,0.3373154824755109,0.25584678147991513
fails,ck26_IRIS_ck26:38-en,0.20755457891277385,0.7867867867867868,0.13766638772534812,0.34522096663812196
fails,ck26_LIBER-AI-QWEN_ck26:34-en,0.126586207999565,0.0,0.15313265680058435,0.026546448801019373
fails,ck26_IRIS_ck26:27-en,0.12243399233024804,0.7552447552447552,0.2003909294022605,0.3228249217325086
fails,ck26_LIBER-AI-CLAUDE_ck26:27-en,0.08245903488245787,0.7552447552447552,0.1606997596079243,0.2431587944903822
fails,ck26_SPARQL-LLM_ck26:34-en,0.07135134852538999,0.0,0.36048736137485443,0.28913601284946444
