kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck26_SPARQL-LLM_ck26:16-en,-0.8001596807660086,1.0,1.0,0.19984031923399137
wins,ck26_SPARQL-LLM_ck26:33-en,-0.6646328118883967,1.0,1.0,0.33536718811160326
wins,db26_LIBER-AI-CLAUDE_db26:10-es,-0.29289321881345254,1.0,1.0,0.7071067811865475
wins,db26_LIBER-AI-CLAUDE_db26:8-es,-0.29289321881345254,1.0,1.0,0.7071067811865475
wins,db26_LIBER-AI-CLAUDE_db26:10-en,-0.29289321881345254,1.0,1.0,0.7071067811865475
fails,db26_INFAI-ETI-AND-FRIENDS-A_db26:10-en,0.7403464110659662,0.0,1.0,0.2596535889340338
fails,db26_SPARQL-LLM_db26:9-en,0.7250022404677585,0.0,1.0,0.2749977595322415
fails,db26_SPARQL-LLM_db26:7-es,0.7250022404677585,0.0,1.0,0.2749977595322415
fails,db26_SPARQL-LLM_db26:7-en,0.7250022404677585,0.0,1.0,0.2749977595322415
fails,db26_SPARQL-LLM_db26:6-en,0.7250022404677585,0.0,1.0,0.2749977595322415
