kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck26_SPARQL-LLM_ck26:37-en,-0.3027363357999867,1.0,1.0,0.6972636642000133
wins,ck26_SPARQL-LLM_ck26:24-en,-0.2437872483953134,1.0,1.0,0.7562127516046866
wins,ck26_LIBER-AI-CLAUDE_ck26:24-en,-0.21295909474687524,0.0,0.0,0.21295909474687524
wins,ck26_LIBER-AI-CLAUDE_ck26:25-en,-0.18748020694582768,0.0,0.0,0.18748020694582768
wins,ck26_LIBER-AI-CLAUDE_ck26:44-en,-0.14785478596620283,0.9014084507042254,0.35644982820898213,0.2085950422427794
fails,ck26_SPARQL-LLM_ck26:44-en,0.277483516452267,1.0,0.45976675055767213,0.7372502670099391
fails,ck26_SPARQL-LLM_ck26:42-en,0.24300509840277074,1.0,0.4137133886501402,0.6567184870529109
fails,ck26_LIBER-AI-QWEN_ck26:25-en,0.22398596372981944,0.0,0.32019828556081953,0.0962123218310001
fails,ck26_IRIS_ck26:24-en,0.19064677789747358,0.0,0.4413713504244445,0.2507245725269709
fails,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:44-en,0.15324272102383352,1.0,0.1094478057181661,0.2626905267419996
