kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck26_SPARQL-LLM_ck26:33-en,-0.6646328118883967,1.0,1.0,0.33536718811160326
wins,ck26_SPARQL-LLM_ck26:27-en,-0.46187223155148405,1.0,1.0,0.538127768448516
wins,ck26_SPARQL-LLM_ck26:40-en,-0.23221725909454743,0.7999999999999999,0.6192332654346376,0.3870160063400902
wins,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:27-en,-0.13373236942696176,0.8442622950819672,0.3092923161850889,0.1755599467581271
wins,ck26_IRIS_ck26:40-en,-0.11211125702425784,0.0,0.04843483824567993,0.16054609526993777
fails,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:33-en,0.31270661441643455,0.0,0.4894535962186887,0.17674698180225415
fails,ck26_INFAI-ETI-AND-FRIENDS-A_ck26:33-en,0.30182430716305897,0.0,0.6052665103345164,0.3034422031714574
fails,ck26_LIBER-AI-QWEN_ck26:33-en,0.23309658146265033,0.0,0.44300069361967526,0.20990411215702492
fails,ck26_ADFR_ck26:33-en,0.22985025768780543,0.0,0.6052665103345164,0.37541625264671097
fails,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:33-en,0.2032774951857589,0.0,0.3400215619680846,0.13674406678232567
