kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,db26_IRIS_db26:38-es,-0.953053807531547,1.0,1.0,0.046946192468453
wins,db26_INFAI-ETI-AND-FRIENDS-A_db26:23-es,-0.9311391173283597,1.0,1.0,0.06886088267164023
wins,db26_INFAI-ETI-AND-FRIENDS-A_db26:23-en,-0.9311391173283597,1.0,1.0,0.06886088267164023
wins,db26_INFAI-ETI-AND-FRIENDS-A_db26:29-en,-0.8719267282568592,1.0,1.0,0.12807327174314076
wins,db26_SPARQL-LLM_db26:13-en,-0.8118360635786276,1.0,1.0,0.18816393642137244
fails,db26_IRIS_db26:19-en,0.8070625480078482,0.0,0.8371170098777919,0.030054461869943767
fails,db26_IRIS_db26:39-en,0.7693677238407401,0.0,0.8003203203844999,0.030952596543759713
fails,db26_INFAI-ETI-AND-FRIENDS-B_db26:39-en,0.7508422301314912,0.0,0.7703484636204638,0.019506233488972603
fails,db26_INFAI-ETI-AND-FRIENDS-A_db26:10-en,0.7403464110659662,0.0,1.0,0.2596535889340338
fails,db26_SPARQL-LLM_db26:6-en,0.7250022404677585,0.0,1.0,0.2749977595322415
